Review,Rating,Likes,App Version,Review Date
"Mcl berat semenjak update, apa-apaan dc setelah win match pertama, kalo mental doang yah gpp. Ini ke reset smua data nya, harus download dari awal smua. Tolong penjelasan nya, padahal ram dan jaringan memadai. Tapi bisa-bisa nya ke reset dan mulai dari ulang!! Saya udah bertahun-tahun main ML baru kali ini dapet pengalaman buruk!",5,3,19.2.11.103,2024-09-21 16:39:53
game nya memang bagus event nya juga menarik tetapi sayang untuk mech making nya itu kurang dan para pleyer yang memiliki skil rendah tidak di seleksi terlebih dahulu sehingga saat bermain tidak seimbang dengan tim musuh tolong kepada pihak moonton untuk menyeleksi para player minim skill,2,62,1.9.16.9839,2024-09-17 11:03:15
"Sangat memuaskan dan sangat seru ketika bisa bermain bersama temen dan dri temen dri daerah lain dan hero nya juga sangat mudah² di main kan tpi tolong ataskan bug nya terkadang suka lag sendiri padahal sinyal bagus dan sering ketemu tim yang gk se frekuensi dan malah bikin marah², tpi game nya sangat bagus dan baik untuk di download Buru download dan mainkan sekarang pasti happy",4,2,19.2.11.103,2024-09-21 09:32:39
"Game ini sudah bagus hanya saja untuk mendapatkan skin, dengan sistem gaja atau spin nya agak sulit.dengan tingkat kegagalan 99%.peluang untuk mendapatkan skin nya hanya 1% . tolong lah moonton untuk tidak terlalu mempersulit para kolektor skin kelas menengah kebawah.kan apk ini sudah lama rilis di Indonesia.kurangi lah kesulitan untuk mendapatkan skin nya.berikan peluang untak para user game ml.saya kasi bintang 3 aj dulu",5,2,1.9.16.9839,2024-09-21 12:27:16
"Sistem terselubung dimana para solo kesulitan karena setelah winstreak selalu losestreak. Anda berharap para solo player terbaik meningkatkan performa pemain yang stuck di tier tertentu tapi Anda lupa bahwa kebanyakan dari mereka hanya berniat troll semata. Game yang terlalu memaksakan pemain untuk berhenti setelah menang minimal 2x, jika dipaksa maka sistem memberikan beberapa hal yang menyulitkan pemain. Game sampah!! 👎👎👎👎👎👎👎",1,3759,1.9.16.9839,2024-09-17 03:37:07
"Masalah Kembali Lagi, Pakai Data Selalu Ping nya sangat Tinggi, 100 -200 ms an, padahal posisi sinyal full bar buat download tembus 1mb+, udh aktifin mode speed masih gak terlalu ngefek malah jadi naik turun ga karuan, udh coba ganti provider sinyal ttp sama aja",2,184,1.9.16.9839,2024-09-08 10:05:47
"Saran kalo yg diperbarui bukan cuma event event saja, karena saya sudah bermain 3-6 match masih saja menemukan dapat tim yang kurang pas dengan kondisi rank saya, karena kebanyakan yang muncul pemain dari rank sebelumnya dan sangat sangat merepotkan karena kebanyakan keseringan kalah dibandingkan menang karena ketemu musuh yang ranknya lebih tinggi dari saya. Itu saja dari saya mohon perbarui match pertandingannya. Dan untuk yang lain sudah oke dan mantap",3,16,1.9.16.9839,2024-09-20 13:14:35
"Sekarang game ini yang dibanyakin update nya mulu, jaringan error sering bug keluar sendiri. gimana mau nyaman sering terjadi permasalahan saat pertandingan.. tolong dong moonton perbaiki lagi soal bugnya pindah aja game sebelah. mau niak mytic dibikin susah dikasih tim burik.",1,197,1.9.16.9839,2024-09-13 00:05:07
"Buat Moonton atau Mobile Legends Indonesia, kenapa starlight shop harus bayar trus setiap kali mau langganan kalau mau beli fragment atau skin di shop nya, padahal patch sebelum nya ngga perlu bayar mohon di ubah sistem starlight nya seperti dulu lagi.",1,5,1.9.16.9839,2024-09-21 10:35:28
"1.Bagus tapi banyak skin gratis pas ada pesaing kalo gak ada honor of king kayaknya gak akan ada skin gratis ini cara yang menurut gua agak curang soalnya ada banyak skin gratis,baru muncul pas ada pesaing 2. Masalah jaringan dari ml Majapahit kayaknya masalahnya sama aja udah bagus jaringan tiba tiba lag keluar game terus kena lapor tim,kan bukan salah kita tapi salah moonton yang rakus uang hasil top up yang gak mau betulin masalah yang mengganggu selama permainan",5,3,19.2.11.103,2024-09-21 03:53:09
"Moonton setelah update semakin ngk seru ngk kaya dulu lagi , moonton yang sekarang banyak bug nya seperti jaringan nya berwarna hijau tapi malah ngeleg parah sumpah moonton yang sekarang semakin banyak kurang nya , ayolah moonton jangan pilih kasih lah , masa sama anak nya sendiri ngk di kasih drak sistem sedang kan kita malah di kasih drak sistem sih tolong lain kali di perbaiki lah",1,4,19.2.11.103,2024-09-21 10:28:22
"Suka relog, masa baru masuk game tiba tiba relog. Tolong di perbaiki lagi, memo hp padahal masih banyak yg belum terpakai. Lagi dalam game juga relog, jadi afk dan di hitung pelanggaran :( padahal gara gara relog terus. Jaringan sudah stabil, wifi dan data nyala, tetep aja. Tolong banget pr nya moonton",1,2054,1.9.16.9839,2024-09-11 13:24:54
"game yang menarik di samping mekanisme nya yang cukup membosankan, game mlbb menurut saya adalah game yang bisa cukup sustain di dunia game sekarang, namun ada kekurangan fatal dimana komunitas nya sendri itu cukup buruk terutama dalam masalah toxic, mohon untuk pihak pengembang untuk memperketat hukuman dan keamanan di dalam in game, itu saja masukan dari saya, terimakasih. izumi~",3,1,19.2.11.103,2024-09-21 09:44:17
"Bagus sih grafik nya, skin2 nya, tapi klo masalah ngasih tim, beuhhhh gila moonton, slalu gk seimbang, gk heran orang2 pada pindah ke game sebelah,btw aku pernah main,jadi tau hehe..,disitu tim ama musuh slalu seimbang, klo kek gitu seru banget jadinya, setiap 1 permainan durasinya 20 menit an, andai kata kalah pun gk masalah krn emang seru banget main nya, mangkanya moonton.., klo pingin player2 gk pindah ke game sebelah jgn event nya aj yg dibenerin, keseimbangan tim ama musuh juga dong",1,514,1.9.16.9839,2024-09-15 09:32:46
"Game kikir banget mending main HOK, gua main dikasih kalah mulu akhirnya gua uninstall terus pindah game. Makin di update makin banyak dark sistem, udahlah sinyal suka ngelag pas war tapi ketika mati sinyal lancar. Bug juga banyak, setelah reset season malah makin banyak kalahnya daripada menang, percuma skin gratis tapi kikir",1,3,1.9.16.9839,2024-09-21 09:33:15
"kenapa saya kasih bintang 1, karena masalah sistem yang gak seimbang dan gak ngotak ngasih tim, apa gunanya coba kalo solo rank tim musuh jago sedangkan di tim sendiri coklat, ni game dah kikir lah mending hapus rank atau perbaiki sistemnya, dark sistem menyusahkan misal nya rebutan Lane, buta map, asal Hero, ngefeed, ngetroll, dan main ngetrol, niatnya mau buat keseimbangan tim malah gak seimbang, timnya aneh pula ini tim atau binatang sih, ni game niatnya mau hilangi stres malah tambahin stres",1,975,1.9.16.9839,2024-09-11 05:44:45
"Oi muntun game lu ini kenapa woi dari 3 bln ini gw lostrek panjang!!!. Sistem lu perbaiki lah bisa bisa nya gw nyasar ke rank yang tinggi, tim nya juga banyak yang beban dan tidak seimbang, paling menag dalam 1 bln cuma 9× doang. Tolong lah beri tim yang seimbang gitu enggak kayak banyak yang afk, beban, tim gak bisa main. Tolong lah lama lama ini gw pindah game juga ini temen temen gw juga banyak yang lostrek tolong perbaiki lah sistem metch yang ga adil itu yang banyak dark sistem .!!!!",2,133,1.9.16.9839,2024-09-10 10:39:45
"Game nya lumayan seru sih tapi kenapa ya aku kalo main tuh suka ngeleg padahal sinyal/wifi nya baik-baik aja dan penyimpanan ku juga ngga penuh tapi kenapa ya sering ngeleg, terus aku kalau main itu di kasih tim yang ga bisa main, tapi musuh di kasih tim yang bisa main kenapa sihhh matchmaking nya ga adil banget, dan kalo penaikan rank itu tuh kaya sengaja dikasih tim dark system dan tim musuh dikasih tim jago sumpaya ga naik' ranknya padahal capek loh naikin 1 bintang🥰",1,257,1.9.16.9839,2024-09-19 06:24:05
"Game aneh, main enak kok kalo ada kuota, RANK bisa naik trus, Tp giliran apke wifi ancur 98% pasti kala padahal jaringan oke² saja& yg saya heran klo pkek wifi kenapa saya pasti di tim yg mainya lebih buruk dari saya. Tolonglah di perbaiki dalam pembagian tim.",2,68,1.9.16.9839,2024-09-13 16:06:57
"Gamenya sangat bagus, tapi sekarang jaringan sering eror gk kayak dulu, padahal klo di pake buat buka apk lain selalu lancar, gk tau kenapa klo main ML jaringan sering eror, selain jaringan yg lain semua bagus kok, moonton tolong perbanyakin diskon skin yak, hehe:v",5,2,1.9.16.9839,2024-09-21 13:07:58
"Kepada pihak moonton, Tolong perbaiki matchmaching yang tidak masuk akal, karena peforma permainan para player tidak sesuai yang diharapkan, jadi untuk kedepannya segera ditangani jangan hanya menambahkan fitur atau skin baru, tetapi perbaiki juga tentang dark system atau system matchmaching yang tidak masuk akal.",5,1,19.2.11.103,2024-09-21 13:34:38
"Katanya setelah update pengalaman bermain akan semakin nyaman dan ramah di hp kentang cih kiasan palsu, setelah update malah semakin lag, framenya drop dan jaringan nya naik turun sedangkan pas saya coba di game lain gk lag samsek dan satu lagi pembagian tim nya kadang gk seimbang sehingga membuat kita kalah terus dan akan stres. Saran saya yg hpnya kentang atau yg ramnya 3 GBan ke bawah mending jgn main, kenapa? Karna lu bisa stres dan akan beresiko terhadap hp lu",1,3,1.9.16.9839,2024-09-21 15:09:02
"Lumayan lah dari ku,, aku sering main-hapus, download-undownload. Yaa,, susah susah gampanglah untuk ditakluki. Walaupun.. ada beberapa bug juga siii. Tolong diperbaiki juga macth makingnya",4,0,1.9.16.9839,2024-09-21 08:22:36
"Tolong dong moonton!!! Kalau system matchmaking solo player nya itu disamakan kekuatan dari tim sendiri dengan musuhnya, jangan berbanding 20 : 80, tidak fair, banyak player yg pindah ke game sebelah kalau begitu terus",3,40,1.9.16.9839,2024-09-19 16:20:16
"banyak fitur yang ga guna, ga kaya di game sebelah, percuma banyakin fitur kalo ga guna, ngabis²in ram aja. terkadang juga sering ngasih team yang ga sesuai, kurang update. dan, jangan pernah main solo kalo ga pengen pecah kepalanya",2,59,1.9.16.9839,2024-09-11 05:29:08
"Masalahny masih sama tentang masih banyak nya cheat, keseimbangan match matcing dan masalah jaringan, padahal ini adalah masalah dasar dari setiap game berbasis one line dan ketika banyak nya event baru, selalu saja mempengaruhi pertandingan dan yg paling pokok selalu saja akar permasalahannya dijaringan dan keseimbangan match apakah bisa di jelaskan kenapa kejadian seperti ini selalu terulang dan g ada perubahan sama sekali setiap season nya.Ini bukan tentang kalah atau menang tapi keseimbangan",4,7,1.9.16.9839,2024-09-21 11:29:14
"Gamanya seru dan menyenangkan kecuali pas kena dram sistem, dan gama ini kurang bagus kalau dimainkan di HP yang ram nya 2, soal nya aku dulu pernah main mm di HP ya ram nya 2 agak ngelek, apa lagi sinyal nya agak putus putus. Dan kurang enak juga buat adu retri, semoga moonton ngurangin MB nya.",5,2497,1.9.16.9839,2024-09-15 01:42:47
Gamenya sudah bagus dan saya sudah mulai menguasai namun ad hal yang ingin saya keluhkan kenapa ketika reset season harus menghilangkan replay padahal memiliki moment yang bagus dan kenangan yang tidak terlupakan ketika reset semua itu hilang begitu saja ayolah montoon turunkan rank saja replaynya tidak usah dihapus susah membuat moment seperti itu,4,3,1.9.16.9839,2024-09-21 08:31:55
"Sistem matching kurang bagus.perbaiki lagi game mu ini harus kayak game sebelah,,stress kami sebagai player.menang 1 atau 2 kali,kalahnya bisa sampai 4 ataupun lebih apaan coba kalau begitu.intinya perbaiki lagi atau pun perketat lg pick Hero nya.kalau tidak ada kemajuan perbaikannya keterlaluan,tidak memikirkan player2 yang mendapatkan pengalaman yang buruk dalam bermain. Siap2 kami sebagai player akan pindah game..",1,72,1.9.16.9839,2024-09-18 18:47:02
Dark sistem selalu nimpa player solo dan dibuat menang kalah berkali kali sampe kadang lose streak. Beda sama game sebelah ngerti player solo nya Kalo masih ada dark sistem mending pindah game sebelah aja Tolong di perbaiki masalah dark sistem dihilangkan dan jangan terlalu perbanyak event tetapi perbaiki masalah dark sistem,1,24,19.2.11.103,2024-09-20 07:15:42
"Gamenya seru, menarik, tapi kadang suka lag² tiba tiba mungkin bisa diperbaiki lagi masalah jaringannya. Kalau soal grafik bagus, kurang-kurangin player yang gk jelas",5,0,1.9.16.9839,2024-09-21 11:14:32
"Moonton dari saya atau menurut saya game ini sudah sangat bagus untuk di mainkan apalagi banyak event dan Hadiah skin gratis juga dari montoon tapi montoon ada beberapa masalah sehingga game ini manjadi buruk di beberapa kalangan pemain, contoh nya seperti pemilihan rolle , tim yang kurang seimbang , jaringan yang tidak mendukung atau leg secara tiba-tiba pada saat bermain, itulah yang membuat rating game ini Menurun karena hal tersebut belum di perbaiki , saya harap moonton membaca pesan saya.",5,8,19.2.11.103,2024-09-20 01:43:57
"Menurut Gw game ini sekarang dari segi grafik performa dan gameplay udah bagus lumayan dari pada dulu, banyak event menarik dan skin gratis wkwk. Cuma tolong lah di bagian jaringan kena mesti ada suka mendadak ping nya jadi merah padahal koneksi internet ngebut sangat bagus udah di gabung sama wifi juga? Tolong di perbaiki min, Sama Kenapa terkadang suka ngebug padahal HP gw spek game. Mungkin itu aja tolong di perbaiki lagi agar pengalaman bermain jadi lebih Oke sama nyaman",4,467,1.9.16.9839,2024-08-30 18:23:02
"Sistem permainan seperti di atur kapan menang kapan kalah skil ga jadi jaminan player jago skalipun klo udah di atur kalah bakal noob sketika itu juga... Jaringan yang sangat buruk ping tiba'' naik hero sering tiba"" susah di kendalikan...",1,55,1.9.16.9839,2024-09-15 20:34:31
"Masa bisa kalah sampai 10 kali? Orang sabar mana yang main 10 kali lebih tapi tetap di kasih kalah? Ya kali ngasih tim ga seimbang sama tim lawan Bagus ing lagi lah drafpick nya. Cukup kasih"" skin. Ga butuh skin butuh nya tim yang bagus.",1,74,1.9.16.9839,2024-09-14 11:39:37
"Yg ditambah skinnya dan pemain botnya makin menjadi.. katanya mode seimbang ! Faktanya mode gelap penyesuaian. Dari history minus ketemu wr 60+, belum lagi solo ketemu party gada obat, noted : jaringan 4g jangan harap lancar di game ini !! Kalo ga dark sistem ya dark grafik wkwkw",1,159,1.9.16.9839,2024-09-10 08:04:58
"gamenya seru, cuman pembagian timnya sangat tidak adil. Banyak skin gratis sekarang namun yang sebenarnya kita butuhkan adalah mendapatkan tim dan lawan yang setara bukan berat sebelah. yang perlu diperbaiki hanyalah matching timnya saja sisanya tidak usah di apa apakan lagi. Jadinya main game buat refreshing malah buat emosi.",3,5,1.9.16.9839,2024-09-19 13:23:50
kekurangan ini game banyak bet dah mulai dari tim ga seimbang sama musuh. musuh kuat tim lemah itu tuh yg paling sering di alami semua player. sama pada perebutan role orang mah bikin fitur menentukan role sebelum main ke bias enak ga ada yg perebutan role lagi,1,48,1.9.16.9839,2024-09-14 18:10:22
"Saya player lama sebenarnya senang dengan banyaknya event bagi bagi skin gratis di season saat inj dan event sebelum sebelumya,tapi yang paling mengecewakan adalah saat match making atau dalam pertandingan selalu dapat rekan tim yang tidak bisa bermain dengan baik,atau rekan tim yang buruk. Kalau sistem match making ini tidak segera diperbaiki tidak lama pasti player lama banyak yang kabur.",2,66,1.9.16.9839,2024-09-06 23:11:36
"sistem match solo sangat sangat sangat mengecewakan, selalu dapat tim dark sistem sedangkan musuh berbeda dari tim, next season mungkin banyak yang pensi ya karena merasa match solo player yang buruk saya sangat kecewa, dan untuk CS di in-game gak berguna sama sekali, saya sudah melaporkan masalah yang sering di alami namun tidak ada tanggapan dari pihak moonton, alhamdullilah dengan tidak menginstal game berkedok moba dan bersistem judi, saya menjadi orang yang lebih baik",1,22,1.9.16.9839,2024-09-19 17:26:42
"Moonton jelek sekarang, saya sering ngecrash, lag terus padahal sinyal oke wifi ada, tapi tiba"" keluar. Update terbaru tahun ini jelek sekali menurut saya, sangat menyusahkan! Klo bikin playernya lose streak, gausah diadain mobile legend, udah pake sistem kredit score, malah dikasi tim nubnya minta ampun, klo sekali kalah ya kasilah tim bagus, bikin mau bundir aja!! Game nya bikin stres tau gak, gua doain aja cepet galaku gegara berita kematian cuman stres kalah di mobile legend!",3,1,1.9.16.9839,2024-09-21 13:06:38
"gamenya udah bagus ngasih banyak skin epic gratis dan collector.Tetapi tolong perbaiki matchmakinya dalam mode rank sering terjadi pada tim dan lawan secara tidak seimbang dan sehingga pertandingan berantakan.Maka dari itu saya lebih memilih matchmakingnya dan pertandingan lebih baik daripada ngasih skin banyak gratis,jika anda ingin menyenangkan player berilah mereka yang terbaik agar tetap di game ini,sekian itu saja maaf kalau ada kesalahan",1,178,1.9.16.9839,2024-09-08 02:53:26
